,Cell,Gene,Kruskal,FCCorr,ProfCorr,CellCorr,Ratio,Total
10954,B_cells,COX5A,0,0,0,0,0,0
10955,cd8_Tcells,COX5A,0,0,1,0,1,2
10956,B_cells,COX7B,0,0,0,0,1,1
10957,gi_epithelial,COX7B,0,0,0,0,0,0
10958,B_cells,DDOST,1,1,0,1,0,3
10959,gi_epithelial,DDOST,1,0,1,0,0,2
10960,B_cells,COX8A,0,0,0,0,1,1
10961,gi_epithelial,COX8A,0,0,1,0,0,1
10962,B_cells,CPEB4,0,1,1,1,0,3
10963,neuroendocrine,CPEB4,0,1,1,0,0,2
10964,B_cells,CTBS,0,1,1,0,0,2
10965,gi_epithelial,CTBS,0,1,1,1,0,3
10966,B_cells,CUTA,1,0,1,1,0,3
10967,endothelial,CUTA,1,0,1,1,0,3
10968,B_cells,CXADR,1,1,1,1,1,5
10969,gi_epithelial,CXADR,1,0,1,0,0,2
10970,B_cells,CYC1,1,0,1,1,1,4
10971,gi_epithelial,CYC1,1,0,1,0,0,2
10972,B_cells,CYTIP,1,0,1,0,0,2
10973,gi_epithelial,CYTIP,1,1,0,0,1,3
10974,B_cells,DAD1,0,1,1,1,0,3
10975,monocytes_macs_DCs,DAD1,0,1,1,1,0,3
10976,B_cells,DCPS,1,0,1,1,0,3
10977,endothelial,DCPS,1,0,1,1,0,3
10978,gi_epithelial,RNF139,1,0,1,1,0,3
10979,cd8_Tcells,RNF139,1,0,0,0,0,1
10980,B_cells,NDUFB11,0,1,1,0,0,2
10981,endothelial,NDUFB11,0,1,1,0,0,2
10982,gi_epithelial,PTTG1IP,0,0,1,0,0,1
10983,monocytes_macs_DCs,PTTG1IP,0,0,0,1,0,1
10984,B_cells,ZNF706,1,1,1,1,0,4
10985,monocytes_macs_DCs,ZNF706,1,1,1,1,0,4
10986,B_cells,TRAM2,1,0,1,1,0,3
10987,gi_epithelial,TRAM2,1,0,1,1,0,3
10988,B_cells,TRAPPC2L,0,0,0,1,0,1
10989,gi_epithelial,TRAPPC2L,0,0,1,0,0,1
10990,B_cells,TRIM31,1,1,1,1,1,5
10991,gi_epithelial,TRIM31,1,0,1,0,0,2
10992,B_cells,TUBA1C,1,0,1,1,1,4
10993,neuroendocrine,TUBA1C,1,0,1,0,0,2
10994,B_cells,TUFM,1,1,1,1,0,4
10995,cd4_Tcells,TUFM,1,1,1,1,1,5
10996,B_cells,TXNDC11,1,0,0,0,0,1
10997,gi_epithelial,TXNDC11,1,0,0,0,0,1
10998,B_cells,TXNDC15,0,0,0,0,0,0
10999,gi_epithelial,TXNDC15,0,0,1,0,0,1
11000,gi_epithelial,PRR7,1,0,1,0,0,2
11001,cd8_Tcells,PRR7,1,0,1,1,0,3
11002,B_cells,TXNRD1,1,0,1,1,1,4
11003,gi_epithelial,TXNRD1,1,0,1,1,0,3
11004,B_cells,UBA5,0,0,0,0,0,0
11005,gi_epithelial,UBA5,0,0,0,0,0,0
11006,B_cells,UGDH,1,1,1,1,1,5
11007,gi_epithelial,UGDH,1,0,1,0,0,2
11008,B_cells,UQCRH,1,0,0,0,0,1
11009,gi_epithelial,UQCRH,1,0,1,0,0,2
11010,B_cells,UTP23,1,1,1,1,0,4
11011,gi_epithelial,UTP23,1,0,1,0,0,2
11012,B_cells,VKORC1,1,1,1,1,0,4
11013,monocytes_macs_DCs,VKORC1,1,1,1,1,0,4
11014,B_cells,WDFY4,0,1,1,1,0,3
11015,gi_epithelial,WDFY4,0,1,0,0,1,2
11016,B_cells,WDR45,0,0,0,0,0,0
11017,myofibroblasts,WDR45,0,0,1,0,0,1
11018,B_cells,YIPF6,1,0,1,1,0,3
11019,gi_epithelial,YIPF6,1,0,1,1,0,3
11020,gi_epithelial,PROSER1,1,0,1,0,0,2
11021,cd8_Tcells,PROSER1,1,0,1,1,0,3
11022,B_cells,ZFC3H1,0,1,1,1,0,3
